num_artists,num_playlists,streams,bpm,bpm_category,scale,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,is_hyper_popular
1,370,43857627,98,Low,Major,68,40,79,33,0,30,6,False
3,2780,436695353,98,Low,Minor,73,60,85,17,0,24,5,False
2,961,436027885,138,Medium,Minor,78,89,83,10,0,12,5,False
2,185,43522589,98,Low,Minor,73,45,62,28,0,13,13,False
1,2612,433356509,140,Medium,Major,64,18,37,72,0,12,7,False
7,2785,432719968,206,High,Minor,58,83,45,36,0,11,8,False
1,6392,432702334,121,Medium,Major,75,53,74,2,0,11,5,False
1,1783,430977451,127,Medium,Minor,80,74,77,36,0,11,4,False
1,2420,429829812,204,High,Major,52,52,68,46,0,15,4,False
1,888,429504768,180,High,Major,51,87,58,36,0,18,4,False
1,4827,428685680,133,Medium,Major,95,91,89,6,0,31,24,False
4,6890,427486004,124,Medium,Minor,79,79,84,2,0,5,5,False
2,5342,426204830,141,Medium,Major,37,17,67,2,0,34,9,False
1,1493,42485571,170,High,Minor,37,14,24,80,0,11,4,False
3,4846,422691058,101,Low,Major,67,40,90,3,0,34,6,False
1,2499,421365166,92,Low,Major,45,27,67,32,0,13,14,False
1,2393,421135627,160,Medium,Major,31,30,88,7,0,8,8,False
3,4091,421040617,110,Low,Minor,72,67,68,0,0,14,4,False
1,733,41924466,94,Low,Minor,46,55,50,71,0,10,11,False
1,1112,417230415,93,Low,Minor,79,22,55,31,0,12,5,False
1,2585,415932686,105,Low,Minor,65,46,53,16,0,9,5,False
1,1959,412795151,81,Low,Major,45,12,57,7,0,23,3,False
1,1103,41210087,104,Low,Major,44,74,42,88,0,9,9,False
1,1507,411747614,120,Medium,Major,60,24,35,73,0,31,3,False
1,1959,408843328,145,Medium,Major,56,41,57,1,0,13,3,False
1,1788,405136812,139,Medium,Minor,48,37,41,32,0,10,10,False
1,924,404887295,173,High,Major,59,69,53,12,0,23,3,False
1,10114,404664135,92,Low,Major,53,84,77,40,0,32,3,False
1,3818,404562836,90,Low,Major,64,10,62,7,0,48,7,False
1,1685,403939487,95,Low,Major,75,74,58,36,0,9,3,False
1,1029,403231558,152,Medium,Major,84,74,69,21,0,18,6,False
1,685,403097450,158,Medium,Minor,60,52,76,17,0,19,5,False
3,2959,401036314,117,Medium,Minor,72,45,59,14,0,20,21,False
1,2839,399686758,143,Medium,Major,56,39,55,14,0,11,13,False
1,715,39893489,176,High,Minor,50,44,76,10,0,32,5,False
1,1154,397582059,134,Medium,Minor,81,18,64,3,0,10,11,False
2,267,39709092,130,Medium,Major,63,36,34,76,0,35,9,False
2,277,39666245,81,Low,Major,59,26,60,46,1,25,13,False
1,148,39578178,82,Low,Major,51,22,53,1,0,15,3,False
3,11940,395591396,96,Low,Major,23,19,25,91,0,40,3,False
1,7930,395591396,140,Medium,Major,67,81,36,64,0,15,3,False
1,2844,394030335,180,High,Minor,80,71,68,6,0,10,37,False
3,2780,393230256,90,Low,Minor,79,79,70,57,0,66,8,False
1,139,39228929,142,Medium,Major,50,20,64,1,0,12,3,False
1,2881,391251368,135,Medium,Minor,70,60,58,4,0,16,3,False
2,58,39058561,116,Medium,Major,77,79,62,33,1,15,3,False
1,11500,389771964,139,Medium,Major,36,22,15,84,0,11,4,False
1,3528,387570742,130,Medium,Minor,51,32,43,83,0,9,3,False
1,2668,387080183,130,Medium,Major,47,56,90,0,0,10,4,False
1,31,38411956,88,Low,Minor,53,34,47,9,0,83,4,False
2,5115,383835984,122,Medium,Major,85,42,80,6,0,17,14,False
3,4963,383550148,82,Low,Major,63,85,62,6,0,35,4,False
1,2224,382199619,78,Low,Major,36,30,54,34,0,14,5,False
1,1985,381161027,92,Low,Minor,75,55,76,25,0,10,15,False
2,3645,380726517,132,Medium,Minor,87,82,70,42,0,21,5,False
1,2468,380319238,102,Low,Minor,64,4,60,11,0,19,4,False
1,1545,37778188,78,Low,Major,43,60,38,76,1,48,38,False
1,4651,376333030,118,Medium,Major,80,21,55,1,0,26,17,False
2,4640,374706940,136,Medium,Minor,77,82,30,95,0,13,5,False
2,1678,374191487,96,Low,Minor,66,76,82,47,0,10,32,False
1,3506,373199958,198,High,Minor,59,71,42,55,0,10,7,False
1,715,37307967,118,Medium,Major,44,52,94,11,0,4,29,False
1,3909,372476382,100,Low,Minor,59,49,65,2,0,13,3,False
3,259,37126685,135,Medium,Minor,77,28,55,18,0,22,15,False
1,1194,37091576,118,Medium,Minor,66,83,43,84,0,19,19,False
1,43899,3703895074,171,High,Major,50,38,80,0,0,9,7,True
1,1930,370068639,82,Low,Major,47,44,76,8,91,9,3,False
1,99,36912123,121,Medium,Major,65,49,78,0,0,17,4,False
1,9514,368646862,106,Low,Major,44,8,20,74,42,11,3,False
1,2128,367814306,120,Medium,Major,73,64,85,25,0,61,3,False
2,849,367316268,157,Medium,Major,54,75,60,30,0,7,5,False
3,292,366599607,94,Low,Major,58,44,57,57,0,10,3,False
1,3218,366214458,114,Medium,Major,51,39,29,90,0,10,4,False
1,892,363472647,100,Low,Minor,59,78,94,27,0,29,23,False
1,3098,363467642,122,Medium,Major,77,51,79,5,0,16,5,False
1,596,363369738,120,Medium,Major,63,36,73,0,0,36,4,False
1,1769,362361576,105,Low,Minor,76,49,56,80,12,10,13,False
2,4053,357925728,95,Low,Minor,77,53,64,74,0,17,14,False
1,1561,357580552,175,High,Minor,59,15,64,43,90,12,10,False
1,4094,356709897,107,Low,Minor,54,41,39,51,0,11,16,False
1,32181,3562543890,96,Low,Minor,83,93,65,58,0,9,8,True
2,2012,355219175,105,Low,Major,76,58,84,10,0,13,10,False
1,9724,354614964,115,Medium,Minor,70,87,88,4,0,26,8,False
2,692,354495408,144,Medium,Minor,56,84,65,23,0,10,6,False
